Year,Level 0,Level 1,Level 2,Level 3,Level 4,Current Metric,Value
2010,Operating Income,EBIT,EBITDA,,,Net Income,1013026000.0
2010,Operating Income,EBIT,EBITDA,Net Income,,Net Income from Continuing Operations,
2010,Operating Income,EBIT,EBITDA,Net Income,,Comprehensive Income Net of Tax,
2010,Operating Income,EBIT,,,,Income Before Tax,1176419000.0
2010,Operating Income,EBIT,Income Before Tax,,,Income Tax Expense,163393000.0
2010,Operating Income,,,,,Operating Expenses,2267320000.0
2010,Operating Income,,,,,Depreciation,
2010,Operating Income,,,,,Depreciation and Amortization,126582000.0
2010,EBIT,,,,,EBITDA,1199552000.0
2010,EBIT,EBITDA,,,,Net Income,1013026000.0
2010,EBIT,EBITDA,Net Income,,,Net Income from Continuing Operations,
2010,EBIT,EBITDA,Net Income,,,Comprehensive Income Net of Tax,
2010,EBIT,,,,,Income Before Tax,1176419000.0
2010,EBIT,Income Before Tax,,,,Income Tax Expense,163393000.0
2010,Income Before Tax,,,,,Income Tax Expense,163393000.0
2010,EBITDA,,,,,Net Income,1013026000.0
2010,EBITDA,Net Income,,,,Net Income from Continuing Operations,
2010,EBITDA,Net Income,,,,Comprehensive Income Net of Tax,
2010,Net Income,,,,,Net Income from Continuing Operations,
2010,Net Income,,,,,Comprehensive Income Net of Tax,
2010,Net Interest Income,,,,,Interest Income,
2010,Net Interest Income,,,,,Interest Expense,140941000.0
