Year,Level 0,Level 1,Level 2,Level 3,Level 4,Current Metric,Value
2021,Total Revenue,Gross Profit,Operating Income,,,EBIT,135411000000.0
2021,Total Revenue,Gross Profit,Operating Income,EBIT,,EBITDA,182481000000.0
2021,Total Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,150578000000.0
2021,Total Revenue,Gross Profit,Operating Income,EBIT,,Income Before Tax,165578000000.0
2021,Total Revenue,Gross Profit,Operating Income,EBIT,Income Before Tax,Income Tax Expense,29278000000.0
2021,Total Revenue,Gross Profit,Operating Income,,,Operating Expenses,206406000000.0
2021,Total Revenue,Gross Profit,Operating Income,,,Depreciation,
2021,Total Revenue,Gross Profit,Operating Income,,,Depreciation and Amortization,47070000000.0
2021,Total Revenue,Gross Profit,,,,"Selling, General and Administrative",55224000000.0
2021,Total Revenue,Gross Profit,,,,Research and Development,57236000000.0
2021,Total Revenue,,,,,Non-Interest Income,
2021,Total Revenue,,,,,Other Non-Operating Income,
2021,Total Revenue,,,,,Investment Income Net,
2021,Total Revenue,,,,,Net Interest Income,68318000000.0
2021,Total Revenue,Net Interest Income,,,,Interest Income,72794000000.0
2021,Total Revenue,Net Interest Income,,,,Interest Expense,4476000000.0
2021,Gross Profit,,,,,Operating Income,170054000000.0
2021,Gross Profit,Operating Income,,,,EBIT,135411000000.0
2021,Gross Profit,Operating Income,EBIT,,,EBITDA,182481000000.0
2021,Gross Profit,Operating Income,EBIT,EBITDA,,Net Income,150578000000.0
2021,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income from Continuing Operations,143284000000.0
2021,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2021,Gross Profit,Operating Income,EBIT,,,Income Before Tax,165578000000.0
2021,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,29278000000.0
2021,Gross Profit,Operating Income,,,,Operating Expenses,206406000000.0
2021,Gross Profit,Operating Income,,,,Depreciation,
2021,Gross Profit,Operating Income,,,,Depreciation and Amortization,47070000000.0
2021,Gross Profit,,,,,"Selling, General and Administrative",55224000000.0
2021,Gross Profit,,,,,Research and Development,57236000000.0
2021,Operating Income,,,,,EBIT,135411000000.0
2021,Operating Income,EBIT,,,,EBITDA,182481000000.0
2021,Operating Income,EBIT,EBITDA,,,Net Income,150578000000.0
